Bag,Date,Count,weight_g,
1,2025-06-04,200,1995.8048,
35,2025-06-04,200,1773.54472,
27,2025-06-04,200,2213.52896,
31,2025-06-04,200,1945.90968,
36,2025-06-04,200,2118.27464,
37,2025-06-04,200,2367.75024,
27,2025-06-17,197,2390.42984,
37,2025-06-17,200,2662.58504,
31,2025-06-17,199,2240.74448,
1,2025-06-17,200,2308.78328,
36,2025-06-17,198,2458.46864,
35,2025-06-17,199,2063.8436,
31,2025-07-03,198,2766.9112,
27,2025-07-03,197,2676.1928,
35,2025-07-03,197,2590.01032,
36,2025-07-03,,2975.56352,
1,2025-07-03,199,2948.348,
37,2025-07-03,195,2939.27616,
27,2025-07-23,194,4195.726,
35,2025-07-23,196,3900.8912,
37,2025-07-23,196,4454.27344,
1,2025-07-23,197,4427.05792,
31,2025-07-23,198,4100.47168,
36,2025-07-23,195,4467.8812,
36,2025-08-05,193,5048.47896,
27,2025-08-05,193,4599.42288,
1,2025-08-05,196,4980.44016,
37,2025-08-05,194,4785.3956,
31,2025-08-05,198,4522.31224,
35,2025-08-05,195,4309.124,
36,2025-09-01,198,6037.30952,
1,2025-09-01,220,6463.686,
27,2025-09-01,188,5756.08248,
35,2025-09-01,204,5647.2204,
31,2025-09-01,193,5651.75632,
37,2025-09-01,186,6186.99488,
36,2025-09-09,197,6540.79664,
27,2025-09-09,191,6314.00064,
1,2025-09-09,222,6998.92456,
35,2025-09-09,204,5996.48624,
37,2025-09-09,187,6123.492,
31,2025-09-09,190,6046.38136,
37,2025-09-17,172,6998.92456,
31,2025-09-17,192,6445.54232,
35,2025-09-17,204,6377.50352,
1,2025-09-17,222,7692.92032,
36,2025-09-17,197,7239.32832,
27,2025-09-17,192,6917.278,
27,2025-09-15,192,8577.42472,
1,2025-09-15,222,9525.432,
36,2025-09-15,198,8858.65176,
35,2025-09-15,203,7733.7436,
31,2025-09-15,,7724.67176,
37,2025-09-15,165,,
31,2025-10-16,192,7937.86,
35,2025-10-16,203,8033.11432,
37,2025-10-16,165,8722.57416,
27,2025-10-16,192,8813.29256,
1,2025-10-16,222,9656.97368,
36,2025-10-16,197,8999.26528,
31,2025-10-23,192,7810.85424,
35,2025-10-23,203,7629.41744,
37,2025-10-23,165,8981.1216,
27,2025-10-23,192,8958.442,
1,2025-10-23,222,9765.83576,
36,2025-10-23,190,8926.69056,
37,2025-10-30,165,9126.27104,
31,2025-10-30,192,8028.5784,
35,2025-10-30,203,8368.7724,
27,2025-10-30,192,8890.4032,
1,2025-10-30,222,9738.62024,
36,2025-10-30,190,8958.442,
